1,2,3,4,5,6,
Red Wine,Champagne,White Wine,Port Wine,Rose Wine,,
White Wine,Port Wine,Dessert Wine,Sparkling Wine,,,
Red Wine,Sparkling Wine,Rose Wine,,,,
Champagne,Red Wine,Port Wine,Dessert Wine,White Wine,,
Sparkling Wine,Rose Wine,White Wine,Champagne,,,
Port Wine,Champagne,Red Wine,White Wine,Dessert Wine,,
Rose Wine,White Wine,Champagne,Sparkling Wine,Red Wine,,
Dessert Wine,Port Wine,Champagne,Sparkling Wine,Rose Wine,Red Wine,White Wine
Red Wine,White Wine,Champagne,Port Wine,,,
White Wine,Port Wine,Dessert Wine,Sparkling Wine,,,
Red Wine,Sparkling Wine,Rose Wine,,,,
Champagne,Red Wine,Port Wine,Dessert Wine,White Wine,,
Sparkling Wine,Rose Wine,White Wine,Champagne,,,
Port Wine,Champagne,Red Wine,White Wine,Dessert Wine,,
Rose Wine,White Wine,Champagne,Sparkling Wine,Red Wine,,
Dessert Wine,Port Wine,Champagne,Sparkling Wine,Rose Wine,Red Wine,White Wine
Red Wine,Champagne,White Wine,Port Wine,Rose Wine,,
White Wine,Port Wine,Dessert Wine,Sparkling Wine,,,
Red Wine,Sparkling Wine,Rose Wine,,,,
Champagne,Red Wine,Port Wine,Dessert Wine,White Wine,,
Sparkling Wine,Rose Wine,White Wine,Champagne,,,
Port Wine,Champagne,Red Wine,White Wine,Dessert Wine,,
Rose Wine,White Wine,Champagne,Sparkling Wine,Red Wine,,
Dessert Wine,Port Wine,Champagne,Sparkling Wine,Rose Wine,Red Wine,White Wine
Red Wine,White Wine,Champagne,Port Wine,,,
White Wine,Port Wine,Dessert Wine,Sparkling Wine,,,
Red Wine,Sparkling Wine,Rose Wine,,,,
Champagne,Red Wine,Port Wine,Dessert Wine,White Wine,,
Sparkling Wine,Rose Wine,White Wine,Champagne,,,
Port Wine,Champagne,Red Wine,White Wine,Dessert Wine,,
Rose Wine,White Wine,Champagne,Sparkling Wine,Red Wine,,
Dessert Wine,Port Wine,Champagne,Sparkling Wine,Rose Wine,Red Wine,White Wine
Red Wine,Champagne,White Wine,Port Wine,Rose Wine,,
White Wine,Port Wine,Dessert Wine,Sparkling Wine,,,
Red Wine,Sparkling Wine,Rose Wine,,,,
Champagne,Red Wine,Port Wine,Dessert Wine,White Wine,,
Sparkling Wine,Rose Wine,White Wine,Champagne,,,
Port Wine,Champagne,Red Wine,White Wine,Dessert Wine,,
Rose Wine,White Wine,Champagne,Sparkling Wine,Red Wine,,
Dessert Wine,Port Wine,Champagne,Sparkling Wine,Rose Wine,Red Wine,White Wine
Red Wine,White Wine,Champagne,Port Wine,,,
White Wine,Port Wine,Dessert Wine,Sparkling Wine,,,
Red Wine,Sparkling Wine,Rose Wine,,,,
Champagne,Red Wine,Port Wine,Dessert Wine,White Wine,,
Sparkling Wine,Rose Wine,White Wine,Champagne,,,
Port Wine,Champagne,Red Wine,White Wine,Dessert Wine,,
Rose Wine,White Wine,Champagne,Sparkling Wine,Red Wine,,
Dessert Wine,Port Wine,Champagne,Sparkling Wine,Rose Wine,Red Wine,White Wine
Red Wine,Champagne,White Wine,Port Wine,Rose Wine,,
White Wine,Port Wine,Dessert Wine,Sparkling Wine,,,
Red Wine,Sparkling Wine,Rose Wine,,,,
Champagne,Red Wine,Port Wine,Dessert Wine,White Wine,,
Sparkling Wine,Rose Wine,White Wine,Champagne,,,
Port Wine,Champagne,Red Wine,White Wine,Dessert Wine,,
Rose Wine,White Wine,Champagne,Sparkling Wine,Red Wine,,
Dessert Wine,Port Wine,Champagne,Sparkling Wine,Rose Wine,Red Wine,White Wine
Red Wine,White Wine,Champagne,Port Wine,,,
White Wine,Port Wine,Dessert Wine,Sparkling Wine,,,
Red Wine,Sparkling Wine,Rose Wine,,,,
Champagne,Red Wine,Port Wine,Dessert Wine,White Wine,,
Sparkling Wine,Rose Wine,White Wine,Champagne,,,
Port Wine,Champagne,Red Wine,White Wine,Dessert Wine,,
Rose Wine,White Wine,Champagne,Sparkling Wine,Red Wine,,
Dessert Wine,Port Wine,Champagne,Sparkling Wine,Rose Wine,Red Wine,White Wine
Red Wine,Champagne,White Wine,Port Wine,Rose Wine,,
White Wine,Port Wine,Dessert Wine,Sparkling Wine,,,
Red Wine,Sparkling Wine,Rose Wine,,,,
Champagne,Red Wine,Port Wine,Dessert Wine,White Wine,,
Sparkling Wine,Rose Wine,White Wine,Champagne,,,
Port Wine,Champagne,Red Wine,White Wine,Dessert Wine,,
Rose Wine,White Wine,Champagne,Sparkling Wine,Red Wine,,
Dessert Wine,Port Wine,Champagne,Sparkling Wine,Rose Wine,Red Wine,White Wine
Red Wine,White Wine,Champagne,Port Wine,,,
White Wine,Port Wine,Dessert Wine,Sparkling Wine,,,
Red Wine,Sparkling Wine,Rose Wine,,,,
Champagne,Red Wine,Port Wine,Dessert Wine,White Wine,,
Sparkling Wine,Rose Wine,White Wine,Champagne,,,
Port Wine,Champagne,Red Wine,White Wine,Dessert Wine,,
Rose Wine,White Wine,Champagne,Sparkling Wine,Red Wine,,
Dessert Wine,Port Wine,Champagne,Sparkling Wine,Rose Wine,Red Wine,White Wine
Red Wine,Champagne,White Wine,Port Wine,Rose Wine,,
White Wine,Port Wine,Dessert Wine,Sparkling Wine,,,
Red Wine,Sparkling Wine,Rose Wine,,,,
Champagne,Red Wine,Port Wine,Dessert Wine,White Wine,,
Sparkling Wine,Rose Wine,White Wine,Champagne,,,
Port Wine,Champagne,Red Wine,White Wine,Dessert Wine,,
Rose Wine,White Wine,Champagne,Sparkling Wine,Red Wine,,
Dessert Wine,Port Wine,Champagne,Sparkling Wine,Rose Wine,Red Wine,White Wine
Red Wine,White Wine,Champagne,Port Wine,,,
White Wine,Port Wine,Dessert Wine,Sparkling Wine,,,
Red Wine,Sparkling Wine,Rose Wine,,,,
Champagne,Red Wine,Port Wine,Dessert Wine,White Wine,,
Sparkling Wine,Rose Wine,White Wine,Champagne,,,
Port Wine,Champagne,Red Wine,White Wine,Dessert Wine,,
Rose Wine,White Wine,Champagne,Sparkling Wine,Red Wine,,
Dessert Wine,Port Wine,Champagne,Sparkling Wine,Rose Wine,Red Wine,White Wine
Red Wine,Champagne,White Wine,Port Wine,Rose Wine,,
White Wine,Port Wine,Dessert Wine,Sparkling Wine,,,
Red Wine,Sparkling Wine,Rose Wine,,,,
Champagne,Red Wine,Port Wine,Dessert Wine,White Wine,,
Sparkling Wine,Rose Wine,White Wine,Champagne,,,
Port Wine,Champagne,Red Wine,White Wine,Dessert Wine,,
Rose Wine,White Wine,Champagne,Sparkling Wine,Red Wine,,
Dessert Wine,Port Wine,Champagne,Sparkling Wine,Rose Wine,Red Wine,White Wine
Red Wine,White Wine,Champagne,Port Wine,,,
White Wine,Port Wine,Dessert Wine,Sparkling Wine,,,
Red Wine,Sparkling Wine,Rose Wine,,,,
Champagne,Red Wine,Port Wine,Dessert Wine,White Wine,,
Sparkling Wine,Rose Wine,White Wine,Champagne,,,
Port Wine,Champagne,Red Wine,White Wine,Dessert Wine,,
Rose Wine,White Wine,Champagne,Sparkling Wine,Red Wine,,
Dessert Wine,Port Wine,Champagne,Sparkling Wine,Rose Wine,Red Wine,White Wine
Red Wine,Champagne,White Wine,Port Wine,Rose Wine,,
White Wine,Port Wine,Dessert Wine,Sparkling Wine,,,
Red Wine,Sparkling Wine,Rose Wine,,,,
Champagne,Red Wine,Port Wine,Dessert Wine,White Wine,,
Sparkling Wine,Rose Wine,White Wine,Champagne,,,
Port Wine,Champagne,Red Wine,White Wine,Dessert Wine,,
Rose Wine,White Wine,Champagne,Sparkling Wine,Red Wine,,
Dessert Wine,Port Wine,Champagne,Sparkling Wine,Rose Wine,Red Wine,White Wine
Red Wine,White Wine,Champagne,Port Wine,,,
White Wine,Port Wine,Dessert Wine,Sparkling Wine,,,
Red Wine,Sparkling Wine,Rose Wine,,,,
Champagne,Red Wine,Port Wine,Dessert Wine,White Wine,,
Sparkling Wine,Rose Wine,White Wine,Champagne,,,
Port Wine,Champagne,Red Wine,White Wine,Dessert Wine,,
Rose Wine,White Wine,Champagne,Sparkling Wine,Red Wine,,
Dessert Wine,Port Wine,Champagne,Sparkling Wine,Rose Wine,Red Wine,White Wine
Red Wine,Champagne,White Wine,Port Wine,Rose Wine,,
White Wine,Port Wine,Dessert Wine,Sparkling Wine,,,
Red Wine,Sparkling Wine,Rose Wine,,,,
Champagne,Red Wine,Port Wine,Dessert Wine,White Wine,,
Sparkling Wine,Rose Wine,White Wine,Champagne,,,
Port Wine,Champagne,Red Wine,White Wine,Dessert Wine,,
Rose Wine,White Wine,Champagne,Sparkling Wine,Red Wine,,
Dessert Wine,Port Wine,Champagne,Sparkling Wine,Rose Wine,Red Wine,White Wine
Red Wine,White Wine,Champagne,Port Wine,,,
White Wine,Port Wine,Dessert Wine,Sparkling Wine,,,
Red Wine,Sparkling Wine,Rose Wine,,,,
Champagne,Red Wine,Port Wine,Dessert Wine,White Wine,,
Sparkling Wine,Rose Wine,White Wine,Champagne,,,
Port Wine,Champagne,Red Wine,White Wine,Dessert Wine,,
Rose Wine,White Wine,Champagne,Sparkling Wine,Red Wine,,
Dessert Wine,Port Wine,Champagne,Sparkling Wine,Rose Wine,Red Wine,White Wine
Red Wine,Champagne,White Wine,Port Wine,Rose Wine,,
White Wine,Port Wine,Dessert Wine,Sparkling Wine,,,
Red Wine,Sparkling Wine,Rose Wine,,,,
Champagne,Red Wine,Port Wine,Dessert Wine,White Wine,,
Sparkling Wine,Rose Wine,White Wine,Champagne,,,
Port Wine,Champagne,Red Wine,White Wine,Dessert,,
Rose Wine,White Wine,Champagne,Sparkling Wine,Red Wine,,
Dessert Wine,Port Wine,Champagne,Sparkling Wine,Rose Wine,Red Wine,White Wine
Red Wine,White Wine,Champagne,Port Wine,,,
White Wine,Port Wine,Dessert Wine,Sparkling Wine,,,
Red Wine,Sparkling Wine,Rose Wine,,,,
Champagne,Red Wine,Port Wine,Dessert Wine,White Wine,,
Sparkling Wine,Rose Wine,White Wine,Champagne,,,
Port Wine,Champagne,Red Wine,White Wine,Dessert Wine,,
Rose Wine,White Wine,Champagne,Sparkling Wine,Red Wine,,
Dessert Wine,Port Wine,Champagne,Sparkling Wine,Rose Wine,Red Wine,White Wine
Red Wine,Champagne,White Wine,Port Wine,Rose Wine,,
White Wine,Port Wine,Dessert Wine,Sparkling Wine,,,
Red Wine,Sparkling Wine,Rose Wine,,,,
Champagne,Red Wine,Port Wine,Dessert Wine,White Wine,,
Sparkling Wine,Rose Wine,White Wine,Champagne,,,
Port Wine,Champagne,Red Wine,White Wine,Dessert Wine,,
Rose Wine,White Wine,Champagne,Sparkling Wine,Red Wine,,
Dessert Wine,Port Wine,Champagne,Sparkling Wine,Rose Wine,Red Wine,White Wine
Red Wine,White Wine,Champagne,Port Wine,,,
White Wine,Port Wine,Dessert Wine,Sparkling Wine,,,
Red Wine,Sparkling Wine,Rose Wine,,,,
Champagne,Red Wine,Port Wine,Dessert Wine,White Wine,,
Sparkling Wine,Rose Wine,White Wine,Champagne,,,
Port Wine,Champagne,Red Wine,White Wine,Dessert Wine,,
Rose Wine,White Wine,Champagne,Sparkling Wine,Red Wine,,
Dessert Wine,Port Wine,Champagne,Sparkling Wine,Rose Wine,Red Wine,White Wine
Red Wine,Champagne,White Wine,Port Wine,Rose Wine,,
White Wine,Port Wine,Dessert Wine,Sparkling Wine,,,
Red Wine,Sparkling Wine,Rose Wine,,,,
Champagne,Red Wine,Port Wine,Dessert Wine,White Wine,,
Sparkling Wine,Rose Wine,White Wine,Champagne,,,
Port Wine,Champagne,Red Wine,White Wine,Dessert Wine,,
Rose Wine,White Wine,Champagne,Sparkling Wine,Red Wine,,
Dessert Wine,Port Wine,Champagne,Sparkling Wine,Rose Wine,Red Wine,White Wine
Red Wine,White Wine,Champagne,Port Wine,,,
White Wine,Port Wine,Dessert Wine,Sparkling Wine,,,
Red Wine,Sparkling Wine,Rose Wine,,,,
Champagne,Red Wine,Port Wine,Dessert Wine,White Wine,,
Sparkling Wine,Rose Wine,White Wine,Champagne,,,
Port Wine,Champagne,Red Wine,White Wine,Dessert Wine,,
Rose Wine,White Wine,Champagne,Sparkling Wine,Red Wine,,
Dessert Wine,Port Wine,Champagne,Sparkling Wine,Rose Wine,Red Wine,White Wine
Red Wine,Champagne,White Wine,Port Wine,Rose Wine,,
White Wine,Port Wine,Dessert Wine,Sparkling Wine,,,
Red Wine,Sparkling Wine,Rose Wine,,,,
Champagne,Red Wine,Port Wine,Dessert Wine,White Wine,,
Sparkling Wine,Rose Wine,White Wine,Champagne,,,
Port Wine,Champagne,Red Wine,White Wine,Dessert Wine,,
Rose Wine,White Wine,Champagne,Sparkling Wine,Red Wine,,
Dessert Wine,Port Wine,Champagne,Sparkling Wine,Rose Wine,Red Wine,White Wine
Red Wine,Champagne,White Wine,Port Wine,Rose Wine,,
White Wine,Port Wine,Dessert Wine,Sparkling Wine,,,
Red Wine,Sparkling Wine,Rose Wine,,,,
Champagne,Red Wine,Port Wine,Dessert Wine,White Wine,,
Sparkling Wine,Rose Wine,White Wine,Champagne,,,
Port Wine,Champagne,Red Wine,White Wine,Dessert Wine,,
Rose Wine,White Wine,Champagne,Sparkling Wine,Red Wine,,
Dessert Wine,Port Wine,Champagne,Sparkling Wine,Rose Wine,Red Wine,White Wine
Red Wine,White Wine,Champagne,Port Wine,,,
White Wine,Port Wine,Dessert Wine,Sparkling Wine,,,
Red Wine,Sparkling Wine,Rose Wine,,,,
Champagne,Red Wine,Port Wine,Dessert Wine,White Wine,,
Sparkling Wine,Rose Wine,White Wine,Champagne,,,
Port Wine,Champagne,Red Wine,White Wine,Dessert Wine,,
Rose Wine,White Wine,Champagne,Sparkling Wine,Red Wine,,
Dessert Wine,Port Wine,Champagne,Sparkling Wine,Rose Wine,Red Wine,White Wine
Red Wine,Champagne,White Wine,Port Wine,Rose Wine,,
White Wine,Port Wine,Dessert Wine,Sparkling Wine,,,
Red Wine,Sparkling Wine,Rose Wine,,,,
Champagne,Red Wine,Port Wine,Dessert Wine,White Wine,,
Sparkling Wine,Rose Wine,White Wine,Champagne,,,
Port Wine,Champagne,Red Wine,White Wine,Dessert Wine,,
Rose Wine,White Wine,Champagne,Sparkling Wine,Red Wine,,
Dessert Wine,Port Wine,Champagne,Sparkling Wine,Rose Wine,Red Wine,White Wine
Red Wine,White Wine,Champagne,Port Wine,,,
White Wine,Port Wine,Dessert Wine,Sparkling Wine,,,
Red Wine,Sparkling Wine,Rose Wine,,,,
Champagne,Red Wine,Port Wine,Dessert Wine,White Wine,,
Sparkling Wine,Rose Wine,White Wine,Champagne,,,
Port Wine,Champagne,Red Wine,White Wine,Dessert Wine,,
Rose Wine,White Wine,Champagne,Sparkling Wine,Red Wine,,
Dessert Wine,Port Wine,Champagne,Sparkling Wine,Rose Wine,Red Wine,White Wine
Red Wine,Champagne,White Wine,Port Wine,Rose Wine,,
White Wine,Port Wine,Dessert Wine,Sparkling Wine,,,
Red Wine,Sparkling Wine,Rose Wine,,,,
Champagne,Red Wine,Port Wine,Dessert Wine,White Wine,,
Sparkling Wine,Rose Wine,White Wine,Champagne,,,
Port Wine,Champagne,Red Wine,White Wine,Dessert Wine,,
Rose Wine,White Wine,Champagne,Sparkling Wine,Red Wine,,
Dessert Wine,Port Wine,Champagne,Sparkling Wine,Rose Wine,Red Wine,White Wine
Red Wine,White Wine,Champagne,Port Wine,,,
White Wine,Port Wine,Dessert Wine,Sparkling Wine,,,
Red Wine,Sparkling Wine,Rose Wine,,,,
Champagne,Red Wine,Port Wine,Dessert Wine,White Wine,,
Sparkling Wine,Rose Wine,White Wine,Champagne,,,
Port Wine,Champagne,Red Wine,White Wine,Dessert Wine,,
Rose Wine,White Wine,Champagne,Sparkling Wine,Red Wine,,
Dessert Wine,Port Wine,Champagne,Sparkling Wine,Rose Wine,Red Wine,White Wine
Red Wine,Champagne,White Wine,Port Wine,Rose Wine,,
White Wine,Port Wine,Dessert Wine,Sparkling Wine,,,
Red Wine,Champagne,White Wine,Port Wine,Rose Wine,,
White Wine,Port Wine,Dessert Wine,Sparkling Wine,,,
Red Wine,Sparkling Wine,Rose Wine,,,,
Champagne,Red Wine,Port Wine,Dessert Wine,White Wine,,
Sparkling Wine,Rose Wine,White Wine,Champagne,,,
Port Wine,Champagne,Red Wine,White Wine,Dessert Wine,,
Rose Wine,White Wine,Champagne,Sparkling Wine,Red Wine,,
Dessert Wine,Port Wine,Champagne,Sparkling Wine,Rose Wine,Red Wine,White Wine
Red Wine,White Wine,Champagne,Port Wine,,,
White Wine,Port Wine,Dessert Wine,Sparkling Wine,,,
Red Wine,Sparkling Wine,Rose Wine,,,,
Champagne,Red Wine,Port Wine,Dessert Wine,White Wine,,
Sparkling Wine,Rose Wine,White Wine,Champagne,,,
Port Wine,Champagne,Red Wine,White Wine,Dessert Wine,,
Rose Wine,White Wine,Champagne,Sparkling Wine,Red Wine,,
Dessert Wine,Port Wine,Champagne,Sparkling Wine,Rose Wine,Red Wine,White Wine
Red Wine,Champagne,White Wine,Port Wine,Rose Wine,,
White Wine,Port Wine,Dessert Wine,Sparkling Wine,,,
Red Wine,Sparkling Wine,Rose Wine,,,,
Champagne,Red Wine,Port Wine,Dessert Wine,White Wine,,
Sparkling Wine,Rose Wine,White Wine,Champagne,,,
Port Wine,Champagne,Red Wine,White Wine,Dessert Wine,,
Rose Wine,White Wine,Champagne,Sparkling Wine,Red Wine,,
Dessert Wine,Port Wine,Champagne,Sparkling Wine,Rose Wine,Red Wine,White Wine
Red Wine,White Wine,Champagne,Port Wine,,,
White Wine,Port Wine,Dessert Wine,Sparkling Wine,,,
Red Wine,Sparkling Wine,Rose Wine,,,,
Champagne,Red Wine,Port Wine,Dessert Wine,White Wine,,
Sparkling Wine,Rose Wine,White Wine,Champagne,,,
Port Wine,Champagne,Red Wine,White Wine,Dessert Wine,,
Rose Wine,White Wine,Champagne,Sparkling Wine,Red Wine,,
Dessert Wine,Port Wine,Champagne,Sparkling Wine,Rose Wine,Red Wine,White Wine
Red Wine,Champagne,White Wine,Port Wine,Rose Wine,,
White Wine,Port Wine,Dessert Wine,Sparkling Wine,,,
Red Wine,Sparkling Wine,Rose Wine,,,,
Champagne,Red Wine,Port Wine,Dessert Wine,White Wine,,
Sparkling Wine,Rose Wine,White Wine,Champagne,,,
Port Wine,Champagne,Red Wine,White Wine,Dessert Wine,,
Rose Wine,White Wine,Champagne,Sparkling Wine,Red Wine,,
Dessert Wine,Port Wine,Champagne,Sparkling Wine,Rose Wine,Red Wine,White Wine
Red Wine,White Wine,Champagne,Port Wine,,,
White Wine,Port Wine,Dessert Wine,Sparkling Wine,,,
Red Wine,Sparkling Wine,Rose Wine,,,,
Champagne,Red Wine,Port Wine,Dessert Wine,White Wine,,
Sparkling Wine,Rose Wine,White Wine,Champagne,,,
Port Wine,Champagne,Red Wine,White Wine,Dessert Wine,,
Rose Wine,White Wine,Champagne,Sparkling Wine,Red Wine,,
Dessert Wine,Port Wine,Champagne,Sparkling Wine,Rose Wine,Red Wine,White Wine
Red Wine,Champagne,White Wine,Port Wine,Rose Wine,,
White Wine,Port Wine,Dessert Wine,Sparkling Wine,,,
Red Wine,Sparkling Wine,Rose Wine,,,,
Champagne,Red Wine,Port Wine,Dessert Wine,White Wine,,
Sparkling Wine,Rose Wine,White Wine,Champagne,,,
Port Wine,Champagne,Red Wine,White Wine,Dessert Wine,,
Rose Wine,White Wine,Champagne,Sparkling Wine,Red Wine,,
Dessert Wine,Port Wine,Champagne,Sparkling Wine,Rose Wine,Red Wine,White Wine
Red Wine,White Wine,Champagne,Port Wine,,,
White Wine,Port Wine,Dessert Wine,Sparkling Wine,,,
Red Wine,Sparkling Wine,Rose Wine,,,,
Champagne,Red Wine,Port Wine,Dessert Wine,White Wine,,
Sparkling Wine,Rose Wine,White Wine,Champagne,,,
Port Wine,Champagne,Red Wine,White Wine,Dessert Wine,,
Rose Wine,White Wine,Champagne,Sparkling Wine,Red Wine,,
Dessert Wine,Port Wine,Champagne,Sparkling Wine,Rose Wine,Red Wine,White Wine
Red Wine,Champagne,White Wine,Port Wine,Rose Wine,,
White Wine,Port Wine,Dessert Wine,Sparkling Wine,,,
Red Wine,Sparkling Wine,Rose Wine,,,,
Champagne,Red Wine,Port Wine,Dessert Wine,White Wine,,
Sparkling Wine,Rose Wine,White Wine,Champagne,,,
Port Wine,Champagne,Red Wine,White Wine,Dessert Wine,,
Rose Wine,White Wine,Champagne,Sparkling Wine,Red Wine,,
Dessert Wine,Port Wine,Champagne,Sparkling Wine,Rose Wine,Red Wine,White Wine
Red Wine,White Wine,Champagne,Port Wine,,,
White Wine,Port Wine,Dessert Wine,Sparkling Wine,,,
Red Wine,Sparkling Wine,Rose Wine,,,,
Champagne,Red Wine,Port Wine,Dessert Wine,White Wine,,
Sparkling Wine,Rose Wine,White Wine,Champagne,,,
Port Wine,Champagne,Red Wine,White Wine,Dessert Wine,,
Rose Wine,White Wine,Champagne,Sparkling Wine,Red Wine,,
Dessert Wine,Port Wine,Champagne,Sparkling Wine,Rose Wine,Red Wine,White Wine
Red Wine,Champagne,White Wine,Port Wine,Rose Wine,,
White Wine,Port Wine,Dessert Wine,Sparkling Wine,,,
Red Wine,Sparkling Wine,Rose Wine,,,,
Champagne,Red Wine,Port Wine,Dessert Wine,White Wine,,
Sparkling Wine,Rose Wine,White Wine,Champagne,,,
Port Wine,Champagne,Red Wine,White Wine,Dessert Wine,,
Rose Wine,White Wine,Champagne,Sparkling Wine,Red Wine,,
Dessert Wine,Port Wine,Champagne,Sparkling Wine,Rose Wine,Red Wine,White Wine
Red Wine,White Wine,Champagne,Port Wine,,,
White Wine,Port Wine,Dessert Wine,Sparkling Wine,,,
Red Wine,Sparkling Wine,Rose Wine,,,,
Champagne,Red Wine,Port Wine,Dessert Wine,White Wine,,
Sparkling Wine,Rose Wine,White Wine,Champagne,,,
Port Wine,Champagne,Red Wine,White Wine,Dessert Wine,,
Rose Wine,White Wine,Champagne,Sparkling Wine,Red Wine,,
Dessert Wine,Port Wine,Champagne,Sparkling Wine,Rose Wine,Red Wine,White Wine
